fine,acc_baseline,acc_classical,acc_classical_copypaste
Ayam-Brand-Sardines,1.0,1.0,1.0
Bananas,1.0,1.0,1.0
Camel-Nuts,0.9166666666666666,0.9166666666666666,0.9166666666666666
Chye-Sim,0.8333333333333334,0.75,0.8333333333333334
FN-Seasons,0.9166666666666666,0.9166666666666666,0.9166666666666666
Gardenia-White-Bread,1.0,1.0,1.0
Ice-Mountain-Water,0.75,0.75,0.75
KCT-Chilli-Sauce,0.6666666666666666,0.6666666666666666,0.6666666666666666
Kailan,1.0,1.0,1.0
Kaya-Spread,1.0,1.0,1.0
Khong-Guan-Biscuits,0.9166666666666666,0.9166666666666666,0.9166666666666666
Koka-Noodles,0.75,0.9166666666666666,0.9166666666666666
Lee-Kum-Kee-Oyster-Sauce,1.0,1.0,1.0
Local-Lime,1.0,1.0,1.0
Local-Mango,1.0,1.0,1.0
Maggi-Curry-Noodles,0.5833333333333334,0.5833333333333334,0.6666666666666666
Marigold-HL-Milk,1.0,1.0,1.0
Meiji-Fresh-Milk,0.8333333333333334,0.8333333333333334,0.8333333333333334
Milo-Powder,0.9166666666666666,0.9166666666666666,1.0
Pasar-Fresh-Eggs,1.0,1.0,1.0
Pokka-Green-Tea,0.9166666666666666,0.9166666666666666,0.9166666666666666
Prima-Taste-Laksa,0.9166666666666666,0.9166666666666666,0.8333333333333334
Red-Chilli,1.0,1.0,1.0
SongHe-Rice,1.0,1.0,1.0
Yeos-Chrysanthemum-Tea,0.9166666666666666,0.9166666666666666,0.9166666666666666
