fine,acc,n
Ayam-Brand-Sardines,0.7857142857142857,14
Bananas,1.0,14
Camel-Nuts,1.0,14
Chye-Sim,0.8461538461538461,13
FN-Seasons,0.9230769230769231,13
Gardenia-White-Bread,1.0,12
Ice-Mountain-Water,0.9230769230769231,13
KCT-Chilli-Sauce,0.7692307692307693,13
Kailan,1.0,13
Kaya-Spread,1.0,14
Khong-Guan-Biscuits,1.0,13
Koka-Noodles,0.9230769230769231,13
Lee-Kum-Kee-Oyster-Sauce,1.0,13
Local-Lime,1.0,13
Local-Mango,1.0,13
Maggi-Curry-Noodles,0.9285714285714286,14
Marigold-HL-Milk,1.0,13
Meiji-Fresh-Milk,0.7857142857142857,14
Milo-Powder,0.9285714285714286,14
Pasar-Fresh-Eggs,1.0,13
Pokka-Green-Tea,0.9230769230769231,13
Prima-Taste-Laksa,0.8666666666666667,15
Red-Chilli,1.0,14
SongHe-Rice,0.9230769230769231,13
Yeos-Chrysanthemum-Tea,1.0,15
