fine,coarse,unit_price,currency,unit
Ayam-Brand-Sardines,Canned,3.73,SGD,each
Bananas,Fruit,4.55,SGD,each
Camel-Nuts,Snacks,6.66,SGD,each
Chye-Sim,Vegetables,2.30,SGD,each
FN-Seasons,Beverages,3.20,SGD,each
Gardenia-White-Bread,Bakery,3.00,SGD,each
Ice-Mountain-Water,Beverages,8.96,SGD,each
KCT-Chilli-Sauce,Sauces,2.63,SGD,each
Kailan,Vegetables,2.20,SGD,each
Kaya-Spread,Spreads,3.85,SGD,each
Khong-Guan-Biscuits,Snacks,2.70,SGD,each
Koka-Noodles,Noodles,2.40,SGD,each
Lee-Kum-Kee-Oyster-Sauce,Sauces,6.06,SGD,each
Local-Lime,Fruit,2.52,SGD,each
Local-Mango,Fruit,5.80,SGD,each
Maggi-Curry-Noodles,Noodles,2.25,SGD,each
Marigold-HL-Milk,Dairy,3.56,SGD,each
Meiji-Fresh-Milk,Dairy,4.71,SGD,each
Milo-Powder,Beverages,10.85,SGD,each
Pasar-Fresh-Eggs,Dairy,3.78,SGD,each
Pokka-Green-Tea,Beverages,9.00,SGD,each
Prima-Taste-Laksa,Convenience,9.79,SGD,each
Red-Chilli,Vegetables,1.50,SGD,each
SongHe-Rice,Staples,6.06,SGD,each
Yeos-Chrysanthemum-Tea,Beverages,7.43,SGD,each
